City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
156,Faanui,PF,2021-07-12 15:36:56,-16.4833,-151.75,79.86,74,32,21.9
157,Khatanga,RU,2021-07-12 15:36:55,71.9667,102.5,48.27,64,100,5.17
158,Sao Filipe,CV,2021-07-12 15:36:40,14.8961,-24.4956,73.22,80,100,8.41
159,Mount Gambier,AU,2021-07-12 15:38:19,-37.8333,140.7667,49.91,100,90,9.22
160,Sorland,NO,2021-07-12 15:35:53,67.667,12.6934,59.07,90,70,16.04
161,Puerto Ayora,EC,2021-07-12 15:35:55,-0.7393,-90.3518,75.16,90,44,9.28
162,Kollegal,IN,2021-07-12 15:38:19,12.15,77.1167,72.93,79,100,11.86
163,Rabak,SD,2021-07-12 15:38:19,13.1809,32.74,87.73,47,39,11.86
164,Quatre Cocos,MU,2021-07-12 15:38:20,-20.2078,57.7625,71.1,71,24,19.06
165,Ponta Do Sol,PT,2021-07-12 15:36:00,32.6667,-17.1,77.13,65,100,10.6
166,Fairbanks,US,2021-07-12 15:34:55,64.8378,-147.7164,63.91,61,1,4.61
167,Port Blair,IN,2021-07-12 15:38:20,11.6667,92.75,81.19,83,100,10.0
168,Kurilsk,RU,2021-07-12 15:36:44,45.2333,147.8833,54.59,91,14,6.8
169,Yanam,IN,2021-07-12 15:38:21,16.7333,82.2167,82.8,90,99,4.65
170,Palmer,US,2021-07-12 15:33:52,42.1584,-72.3287,69.69,82,90,4.0
171,Kloulklubed,PW,2021-07-12 15:36:27,7.0419,134.2556,75.7,72,99,10.54
172,Iqaluit,CA,2021-07-12 15:34:45,63.7506,-68.5145,44.33,81,90,5.01
173,Inongo,CD,2021-07-12 15:38:22,-1.95,18.2667,77.27,37,83,1.19
174,Coquimbo,CL,2021-07-12 15:38:22,-29.9533,-71.3436,58.73,62,90,8.05
175,Les Cayes,HT,2021-07-12 15:38:22,18.2,-73.75,85.71,66,100,12.44
176,Cherskiy,RU,2021-07-12 15:37:02,68.75,161.3,41.32,77,82,8.79
177,Jinxiang,CN,2021-07-12 15:38:23,27.4327,120.6062,78.87,93,100,10.78
178,Lucapa,AO,2021-07-12 15:38:23,-8.4192,20.7447,80.6,18,91,3.49
179,San Patricio,US,2021-07-12 15:35:54,28.017,-97.5169,88.88,66,54,11.72
180,Yellowknife,CA,2021-07-12 15:32:13,62.456,-114.3525,67.32,59,75,4.0
181,Ancud,CL,2021-07-12 15:37:08,-41.8697,-73.8203,46.22,80,84,1.48
182,East Millcreek,US,2021-07-12 15:36:43,40.7,-111.8105,90.19,30,40,6.91
183,Tiarei,PF,2021-07-12 15:38:24,-17.5333,-149.3333,73.42,78,23,21.52
184,College,US,2021-07-12 15:38:24,64.8569,-147.8028,63.9,60,20,0.0
185,Bay Roberts,CA,2021-07-12 15:38:24,47.5999,-53.2648,70.05,84,74,7.0
186,Brewster,US,2021-07-12 15:38:24,41.3973,-73.6171,79.16,94,90,5.75
187,Zeya,RU,2021-07-12 15:38:25,53.75,127.2667,62.35,56,51,4.45
188,Bethel,US,2021-07-12 15:36:28,41.3712,-73.414,78.85,91,90,1.01
189,Lampang,TH,2021-07-12 15:38:25,18.3333,99.5,74.8,95,55,0.49
190,Pauini,BR,2021-07-12 15:38:25,-7.7136,-66.9764,93.56,28,57,2.19
191,Pangnirtung,CA,2021-07-12 15:38:26,66.1451,-65.7125,50.0,76,90,16.11
192,Taoudenni,ML,2021-07-12 15:37:20,22.6783,-3.9836,112.75,11,38,5.17
193,Sorong,ID,2021-07-12 15:36:09,-0.8833,131.25,78.22,88,99,9.66
194,Longyan,CN,2021-07-12 15:38:26,25.1072,117.0225,75.81,94,93,2.55
195,Beringovskiy,RU,2021-07-12 15:37:18,63.05,179.3167,55.96,65,90,7.54
196,Najran,SA,2021-07-12 15:38:27,17.4924,44.1277,99.25,13,99,9.4
197,Chimbote,PE,2021-07-12 15:38:27,-9.0853,-78.5783,68.34,75,91,10.2
