City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
335,Amuntai,ID,77.54,overcast clouds,-2.4177,115.2494,Hotel Balqis
337,Prainha,BR,85.19,scattered clouds,-1.8,-53.48,Casa Rocha
340,Vieux Fort,LC,85.23,broken clouds,13.7167,-60.95,Cedar Palm Villa
341,Nouakchott,MR,84.13,clear sky,18.0858,-15.9785,HOTEL IMAN فندق إيمان
344,Chai Badan,TH,81.84,overcast clouds,15.2,101.1333,Narai Grand Hotel
346,Ca Mau,VN,76.3,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
351,Kousseri,CM,89.56,few clouds,12.0769,15.0306,Le Pilotis
352,Garowe,SO,86.27,overcast clouds,8.4054,48.4845,Curubo Hotel
353,Sartana,UA,87.85,clear sky,47.1744,37.6927,Сартана
354,Saint-Junien,FR,83.34,clear sky,45.8833,0.9,"The Originals City, Hôtel Le Boeuf Rouge, Saint-Junien (Inter-Hotel)"
355,Lanxi,CN,77.68,overcast clouds,29.2195,119.477,Shangri-La Hotel
356,Kigoma,TZ,77.61,overcast clouds,-4.8769,29.6267,MJI Mwema Lodge
357,Caravelas,BR,81.18,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
358,Hasaki,JP,77.29,few clouds,35.7333,140.8333,Hotel Sunrise Choshi
359,Grand-Lahou,CI,80.33,overcast clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
360,Sarti,GR,82.53,clear sky,40.1,23.9833,Vamvini Hotel
361,Huilong,CN,80.98,clear sky,31.8111,121.655,Hilton Garden Inn Qidong
368,Hobyo,SO,79.18,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
369,Saint Marys,US,88.05,clear sky,30.7305,-81.5465,Spencer House Inn
370,Port Moresby,PG,75.9,scattered clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
375,Beberibe,BR,87.17,few clouds,-4.1797,-38.1306,Villa Arte Pousada Morro Branco
376,Zhangye,CN,89.19,few clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
377,Rancho Palos Verdes,US,76.21,broken clouds,33.7445,-118.387,Terranea Resort
381,Khani,GE,81.97,few clouds,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
382,Saint Anthony,US,78.31,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
384,Dakar,SN,88.68,broken clouds,14.6937,-17.4441,Redface Studios Meublés
